"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"696",-0.758663390411361,"+","+","+",-0.246033479612951,NA,NA,"+","+",NA,"+",NA,NA,"+",0.340283890193297,19,-346.984878192523,735.021965220388,18.5747641622312,1.2584292711661e-05
"316",-0.989266706442923,"+","+",NA,-0.367616778384878,"+",NA,"+","+",NA,NA,"+",NA,NA,0.340092883422162,19,-347.020863679794,735.093936194929,18.6467351367722,1.21394919905391e-05
"7021",-0.324049505398011,"+",NA,"+",-0.226101216239424,NA,"+","+","+",NA,"+",NA,NA,"+",0.340063217944037,19,-347.026451762929,735.1051123612,18.6579113030433,1.20718446854883e-05
"3641",-0.770713548480896,"+","+",NA,-0.185600020501917,NA,"+",NA,"+","+",NA,NA,"+",NA,0.345934632358274,20,-345.915904774488,735.21890632317,18.7717052650139,1.14041676818304e-05
"600",-0.764911793631162,"+","+","+",-0.269707179933472,NA,NA,"+",NA,"+",NA,NA,NA,"+",0.333561605157898,18,-348.245592443641,735.227184887281,18.7799838291248,1.13570601780703e-05
"176",-1.23804934579771,"+","+","+",-0.196233770981179,"+",NA,NA,"+",NA,"+",NA,NA,NA,0.333477965543695,18,-348.261204235393,735.258408470786,18.8112074126295,1.11811329623641e-05
"2071",-0.503247196897175,NA,"+","+",-0.211673856862562,NA,"+",NA,NA,"+","+",NA,NA,NA,0.327035655730978,17,-349.458283859593,735.354814731138,18.9076136729819,1.06549510423161e-05
"3361",-0.732541341683041,"+","+","+",-0.163979216491168,NA,"+",NA,NA,"+",NA,NA,"+",NA,0.345557273094724,20,-345.987556676143,735.36221012648,18.915009068324,1.06156250073644e-05
"288",-1.00546366941938,"+","+","+",-0.313518167758959,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.339372039766633,19,-347.156583249445,735.365375334232,18.9181742760753,1.05988379652081e-05
"9911",-0.476011136569542,NA,"+","+",-0.0149191399933665,NA,"+","+",NA,"+","+",NA,"+","+",0.369995614952568,24,-341.26661840878,735.451269604446,19.0040685462893,1.01532843464508e-05
"801",-0.578307375965754,"+","+","+",-0.256418760874073,NA,"+",NA,NA,"+",NA,NA,NA,NA,0.326770043353095,17,-349.507410741542,735.453068495037,19.0058674368803,1.01441561283935e-05
"926",-1.13803200073473,"+",NA,"+",-0.349926754043966,"+",NA,"+",NA,NA,"+","+",NA,"+",0.345244851628768,20,-346.046849504267,735.480795782728,19.0335947245715,1.0004491527817e-05
"430",-1.35525026161462,"+",NA,"+",-0.339599989751337,"+",NA,NA,"+",NA,"+","+",NA,NA,0.332725754228571,18,-348.401527221484,735.539054442967,19.091853384811,9.71727097164916e-06
"120",-0.776693523911887,"+","+","+",-0.248976526998519,NA,NA,"+","+","+",NA,NA,NA,NA,0.332542148329081,18,-348.435756188726,735.607512377451,19.1603113192948,9.3902869097764e-06
"200",-0.837774399644876,"+","+","+",-0.225427137339519,NA,NA,NA,NA,"+","+",NA,NA,NA,0.319897725718906,16,-350.772295833414,735.703321825559,19.2561207674026,8.95105250342983e-06
"104",-0.818414423270797,"+","+","+",-0.252531788795848,NA,NA,NA,"+","+",NA,NA,NA,NA,0.319822322732274,16,-350.786108374075,735.73094690688,19.2837458487239,8.82826567794444e-06
"799",-0.504933217101994,NA,"+","+",-0.371881666154045,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.338381696084712,19,-347.342820915221,735.737850665783,19.2906496076265,8.79784410506863e-06
"216",-0.782397197891073,"+","+","+",-0.232196657106753,NA,NA,"+",NA,"+","+",NA,NA,NA,0.332121420128822,18,-348.514158152664,735.764316305328,19.3171152471716,8.68219071749934e-06
"604",-1.07770832044641,"+","+",NA,-0.260791716946351,"+",NA,"+",NA,"+",NA,NA,NA,"+",0.33803529613264,19,-347.407901836173,735.868012507687,19.4208114495303,8.243506359354e-06
"199",-0.663214370707985,NA,"+","+",-0.219589212792163,NA,NA,NA,NA,"+","+",NA,NA,NA,0.306972347021292,14,-353.11952523933,735.892593785746,19.4453927275899,8.14280848656765e-06
"124",-1.09818811315439,"+","+",NA,-0.245775176242329,"+",NA,"+","+","+",NA,NA,NA,NA,0.337960639628739,19,-347.421924024929,735.8960568852,19.4488558270433,8.1287210088622e-06
"7361",-0.0334986977159581,"+","+","+",-0.221105638473379,NA,"+","+",NA,"+","+",NA,NA,"+",0.362625025886613,23,-342.707982832511,735.922088114002,19.4748870558457,8.02360626106876e-06
"6401",-0.0593898530310821,"+","+","+",-0.254221138110588,NA,"+","+","+","+",NA,NA,NA,"+",0.362476325524078,23,-342.73690374303,735.97992993504,19.5327288768832,7.7948796950125e-06
"2561",-0.0172634760565779,"+","+","+",-0.21264984489402,NA,"+","+","+","+","+",NA,NA,NA,0.362136176898418,23,-342.803036280974,736.112195010927,19.6649939527707,7.29606039701343e-06
"1761",-0.596735036523831,"+","+","+",-0.193780852147125,NA,"+",NA,"+",NA,"+",NA,NA,NA,0.33074657437277,18,-348.770040038875,736.276080077751,19.8288790195941,6.7220421344522e-06
"400",-1.23877767346073,"+","+","+",-0.276679830354663,"+",NA,NA,NA,NA,"+","+",NA,NA,0.336877979194597,19,-347.625108120682,736.302425076705,19.8552240185485,6.63407667239024e-06
"415",-0.656963378996195,NA,"+","+",-0.268740055202187,"+",NA,"+",NA,NA,"+","+",NA,NA,0.336767893573984,19,-347.645750830965,736.343710497272,19.8965094391157,6.4985351350489e-06
"9581",-0.505422921318341,"+",NA,"+",-0.0733889559995808,NA,"+","+","+",NA,"+",NA,"+","+",0.355293843450784,22,-344.126480119718,736.366781377647,19.9195803194907,6.42400238222996e-06
"96",-1.1317751903292,"+","+","+",-0.259478278068676,"+",NA,"+",NA,"+",NA,NA,NA,NA,0.336410222619102,19,-347.712797656408,736.477804148156,20.03060309,6.07711430378932e-06
"4321",-0.776819309262423,"+","+","+",-0.101524568091622,NA,"+",NA,"+",NA,"+",NA,"+",NA,0.347897174964788,21,-345.54264605358,736.826182795419,20.3789817372622,5.10561359137867e-06
"10241",-0.309148628429127,"+","+","+",0.0610437594672653,NA,"+","+","+","+","+",NA,"+","+",0.391092762216159,28,-337.053450451649,736.873567569965,20.4263665118084,4.9860711318653e-06
"335",-0.739817324128369,NA,"+","+",-0.317946953670556,"+",NA,NA,NA,"+",NA,"+",NA,NA,0.328681427220901,18,-349.153486122535,737.042972245069,20.5957711869128,4.58113101325823e-06
"576",-0.926650874104911,"+","+","+",-0.278996537003384,"+",NA,"+","+",NA,NA,NA,NA,"+",0.340962900671379,20,-346.856875283036,737.100847340265,20.6536462821086,4.45046402564743e-06
"208",-1.33450500599422,"+","+","+",-0.217740372250799,"+",NA,NA,NA,"+","+",NA,NA,NA,0.334709978670468,19,-348.031058797298,737.114326429938,20.6671253717813,4.4205707704207e-06
"830",-1.08227811577637,"+",NA,"+",-0.415571095075477,"+",NA,"+","+",NA,NA,"+",NA,"+",0.340814020416365,20,-346.884951708423,737.157000191039,20.7097991328822,4.3272487211122e-06
"304",-1.17664274293288,"+","+","+",-0.378786508106272,"+",NA,NA,"+",NA,NA,"+",NA,NA,0.334534202507444,19,-348.063918647619,737.180046130579,20.7328450724223,4.27767214814585e-06
"348",-1.02301425729561,"+","+",NA,-0.337417467927307,"+",NA,"+",NA,"+",NA,"+",NA,NA,0.34050091564392,20,-346.943979123792,737.275055021777,20.827853963621,4.07921482650444e-06
"672",-1.04784867203651,"+","+","+",-0.247842056444924,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.339966769207086,20,-347.044618197522,737.476333169237,21.0291321110801,3.68866812691672e-06
"446",-1.1668228798043,"+",NA,"+",-0.335098691031519,"+",NA,"+","+",NA,"+","+",NA,NA,0.339883665172543,20,-347.060269146151,737.507635066495,21.0604340083389,3.63138639752251e-06
"800",-0.908423175077201,"+","+","+",-0.399513097162302,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.346048105191919,21,-345.894351409263,737.529593506786,21.0823924486294,3.59173467762411e-06
"112",-1.26761291500384,"+","+","+",-0.252706230367263,"+",NA,NA,"+","+",NA,NA,NA,NA,0.333487942214401,19,-348.259342130384,737.57089309611,21.1236920379534,3.51832663307376e-06
"727",-0.60411201080125,NA,"+","+",-0.227311459691364,NA,NA,"+",NA,"+","+",NA,NA,"+",0.327121347653136,18,-349.442430705304,737.620861410609,21.1736603524523,3.43151320316721e-06
"7351",-0.214213756579065,NA,"+","+",-0.212678511480715,NA,"+","+",NA,"+","+",NA,NA,"+",0.345785662633828,21,-345.944195281465,737.629281251189,21.1820801930323,3.4170971725694e-06
"859",-0.500902263712962,NA,"+",NA,-0.377532448765537,"+",NA,"+",NA,"+",NA,"+",NA,"+",0.339432663476732,20,-347.145174363825,737.677445501844,21.2302444436873,3.33578917440577e-06
"223",-0.744753245748285,NA,"+","+",-0.219803309737636,"+",NA,"+",NA,"+","+",NA,NA,NA,0.33311383139647,19,-348.329150756988,737.710510349317,21.2633092911607,3.28109386308571e-06
"4641",-0.797524975057694,"+","+","+",-0.0777259555076134,NA,"+",NA,NA,"+","+",NA,"+",NA,0.351740529736175,22,-344.80865871384,737.731138565891,21.2839375077344,3.24742622995474e-06
"607",-0.670498066313987,NA,"+","+",-0.262472391363398,"+",NA,"+",NA,"+",NA,NA,NA,"+",0.332906512454283,19,-348.367820624027,737.787850083396,21.3406490252397,3.15663628728272e-06
"828",-0.924498462357714,"+","+",NA,-0.423783668983627,"+",NA,"+","+",NA,NA,"+",NA,"+",0.345259014979207,21,-346.044162081971,737.829214852201,21.3820137940445,3.09202003460201e-06
"632",-0.770347799788514,"+","+","+",-0.2627548142139,NA,NA,"+","+","+",NA,NA,NA,"+",0.338551404751592,20,-347.310924897866,738.008946569926,21.5617455117695,2.82627262910498e-06
"192",-1.05511837625774,"+","+","+",-0.198213067605087,"+",NA,"+","+",NA,"+",NA,NA,NA,0.338516555470761,20,-347.31747528817,738.022047350534,21.5748462923771,2.80781994240942e-06
"728",-0.778746392959617,"+","+","+",-0.234734861197248,NA,NA,"+",NA,"+","+",NA,NA,"+",0.336869331297416,20,-347.626729846195,738.640556466583,22.1933554084267,2.06092271621799e-06
"636",-0.998738844470326,"+","+",NA,-0.25551651250802,"+",NA,"+","+","+",NA,NA,NA,"+",0.342663842385543,21,-346.535688313842,738.812267315944,22.3650662577872,1.8913642202133e-06
"2081",-0.585676908020528,"+","+","+",-0.215952930026151,NA,"+",NA,NA,"+","+",NA,NA,NA,0.330139399394087,19,-348.88289071737,738.817990270082,22.3707892119256,1.88595986078057e-06
"927",-0.551004552854964,NA,"+","+",-0.338001116412952,"+",NA,"+",NA,NA,"+","+",NA,"+",0.342636564076038,21,-346.540845303548,738.822581295355,22.3753802371987,1.88163558120623e-06
"416",-1.05632443490592,"+","+","+",-0.278895783968636,"+",NA,"+",NA,NA,"+","+",NA,NA,0.341969401912619,21,-346.666911412212,739.074713512683,22.6275124545268,1.65876820205272e-06
"1121",-0.595617943665523,"+","+","+",-0.245928122338623,NA,"+",NA,"+","+",NA,NA,NA,NA,0.329358242678151,19,-349.027938835666,739.108086506673,22.6608854485168,1.63131882531724e-06
"336",-1.21823257489132,"+","+","+",-0.331021462731881,"+",NA,NA,NA,"+",NA,"+",NA,NA,0.335379485138021,20,-347.905826715906,739.198750206006,22.7515491478493,1.55901924320223e-06
"232",-0.840404250440312,"+","+","+",-0.21714379939912,NA,NA,NA,"+","+","+",NA,NA,NA,0.322593158165693,18,-350.277604619958,739.291209239916,22.8440081817596,1.48858710193096e-06
"351",-0.585081040711383,NA,"+","+",-0.3244205665331,"+",NA,"+",NA,"+",NA,"+",NA,NA,0.334962486093701,20,-347.983840640089,739.354778054371,22.9075769962144,1.44201726120755e-06
"364",-1.22187165930673,"+","+",NA,-0.369582623150846,"+",NA,NA,"+","+",NA,"+",NA,NA,0.334912340379305,20,-347.993219062723,739.373534899639,22.9263338414821,1.42855663228057e-06
"7681",-0.0863112120659692,"+","+","+",-0.212816508021831,NA,"+","+","+","+","+",NA,NA,"+",0.365995938487746,25,-342.050696105295,739.451186449274,23.0039853911176,1.374154745658e-06
"248",-0.792858576828462,"+","+","+",-0.21711704099062,NA,NA,"+","+","+","+",NA,NA,NA,0.33468806459463,20,-348.035155884419,739.457408543031,23.0102074848744,1.36988632889109e-06
"320",-0.975174252745357,"+","+","+",-0.366971064775107,"+",NA,"+","+",NA,NA,"+",NA,NA,0.340709811722618,21,-346.904600308411,739.550091305081,23.102890246925,1.30785237531968e-06
"3681",-0.719992024983859,"+","+","+",-0.18409299927562,NA,"+",NA,"+","+",NA,NA,"+",NA,0.346699727594199,22,-345.770513414594,739.6548479674,23.2076469092437,1.24111237314277e-06
"860",-0.880335374763546,"+","+",NA,-0.40268700182209,"+",NA,"+",NA,"+",NA,"+",NA,"+",0.346480226547845,22,-345.812241367297,739.738303872805,23.2911028146489,1.19038894695094e-06
"958",-1.13002660102444,"+",NA,"+",-0.385890669089305,"+",NA,"+","+",NA,"+","+",NA,"+",0.345549467081737,22,-345.989038456753,740.091898051718,23.6446969935614,9.97486175404117e-07
"704",-0.976484872739664,"+","+","+",-0.23820336861143,"+",NA,"+","+",NA,"+",NA,NA,"+",0.345404554084278,22,-346.016543680238,740.146908498687,23.6997074405301,9.70423977240038e-07
"224",-1.1738507462388,"+","+","+",-0.224757047496423,"+",NA,"+",NA,"+","+",NA,NA,NA,0.33897613757883,21,-347.231065011555,740.203020711368,23.755819653212,9.43576044248776e-07
"608",-1.0616072808805,"+","+","+",-0.264326505883416,"+",NA,"+",NA,"+",NA,NA,NA,"+",0.338970434733814,21,-347.232137596346,740.205165880952,23.7579648227957,9.42564521502726e-07
"463",-0.779332474381337,NA,"+","+",-0.282001630010326,"+",NA,NA,NA,"+","+","+",NA,NA,0.332370206573944,20,-348.467802756259,740.322702286712,23.8755012285558,8.8876794476297e-07
"128",-1.08264990517746,"+","+","+",-0.24762543810168,"+",NA,"+","+","+",NA,NA,NA,NA,0.338639511964987,21,-347.294362540981,740.329615770222,23.8824147120654,8.85701007357191e-07
"432",-1.22338540475617,"+","+","+",-0.3416267082659,"+",NA,NA,"+",NA,"+","+",NA,NA,0.338108435251771,21,-347.394163229023,740.529217146305,24.0820160881483,8.01575160243706e-07
"928",-0.955113612938369,"+","+","+",-0.366825275708918,"+",NA,"+",NA,NA,"+","+",NA,"+",0.350295134022226,23,-345.085164302122,740.676451053224,24.229249995068,7.44685356328982e-07
"735",-0.720405763315867,NA,"+","+",-0.221892241547473,"+",NA,"+",NA,"+","+",NA,NA,"+",0.33687339204887,21,-347.625968342787,740.992827373833,24.5456263156761,6.35729798769893e-07
"240",-1.30419272512752,"+","+","+",-0.21394982491532,"+",NA,NA,"+","+","+",NA,NA,NA,0.336756810733713,21,-347.647828854753,741.036548397764,24.5893473396079,6.21983220943807e-07
"760",-0.786764279234312,"+","+","+",-0.222865324078445,NA,NA,"+","+","+","+",NA,NA,"+",0.3424227247133,22,-346.581264984319,741.27635110685,24.8291500486935,5.51704050364319e-07
"352",-1.0080279937715,"+","+","+",-0.338996487772208,"+",NA,"+",NA,"+",NA,"+",NA,NA,0.341120545897476,22,-346.827139534881,741.768100207973,25.3208991498166,4.31443779546337e-07
"380",-0.977702119932276,"+","+",NA,-0.384295969413342,"+",NA,"+","+","+",NA,"+",NA,NA,0.341020689003669,22,-346.845975752369,741.80577264295,25.3585715847937,4.23393071161029e-07
"863",-0.485980543134584,NA,"+","+",-0.379458888120215,"+",NA,"+",NA,"+",NA,"+",NA,"+",0.339981004166425,22,-347.041937150782,742.197695439774,25.750494381618,3.48047719507661e-07
"832",-0.904751227398974,"+","+","+",-0.426527269468647,"+",NA,"+","+",NA,NA,"+",NA,"+",0.346184766806202,23,-345.868388912975,742.242900274929,25.7956992167723,3.40269237015433e-07
"4961",-0.780572111987063,"+","+","+",-0.0990380480854478,NA,"+",NA,"+","+","+",NA,"+",NA,0.352437986481885,24,-344.675030968978,742.268094724842,25.8208936666854,3.36009674553274e-07
"2401",-0.601539542992844,"+","+","+",-0.206911981445104,NA,"+",NA,"+","+","+",NA,NA,NA,0.332765648817096,21,-348.394088669083,742.529068026425,26.0818669682681,2.94905009287501e-07
"464",-1.25040669788175,"+","+","+",-0.295756903654304,"+",NA,NA,NA,"+","+","+",NA,NA,0.338767687958344,22,-347.270264429469,742.65434999715,26.2071489389932,2.76998562517976e-07
"479",-0.630009715615431,NA,"+","+",-0.291593597806797,"+",NA,"+",NA,"+","+","+",NA,NA,0.337863710729522,22,-347.440127295054,742.994075728319,26.5468746701622,2.33725991123765e-07
"640",-0.980130418484186,"+","+","+",-0.258260880905552,"+",NA,"+","+","+",NA,NA,NA,"+",0.343558901329571,23,-346.366366812175,743.238856073329,26.7916550151723,2.06801475726812e-07
"448",-1.02812830784087,"+","+","+",-0.334718061181406,"+",NA,"+","+",NA,"+","+",NA,NA,0.343366822830788,23,-346.402720956559,743.311564362098,26.8643633039413,1.99418400824204e-07
"736",-1.09597215053331,"+","+","+",-0.226468333139254,"+",NA,"+",NA,"+","+",NA,NA,"+",0.342640353269829,23,-346.540128964774,743.586380378527,27.1391793203703,1.73815975246273e-07
"368",-1.19368125746026,"+","+","+",-0.370015408608342,"+",NA,NA,"+","+",NA,"+",NA,NA,0.335610573650958,22,-347.862574216554,743.838969571319,27.3917685131628,1.53193607452309e-07
"256",-1.12564588232639,"+","+","+",-0.213365203962573,"+",NA,"+","+","+","+",NA,NA,NA,0.341173832810093,23,-346.817086832086,744.140296113152,27.693095054996,1.31767533308393e-07
"892",-0.805966958376033,"+","+",NA,-0.493685394956885,"+",NA,"+","+","+",NA,"+",NA,"+",0.347491833062852,24,-345.619823520523,744.157679827932,27.7104787697751,1.30627191722757e-07
"864",-0.859398160564699,"+","+","+",-0.406937426213729,"+",NA,"+",NA,"+",NA,"+",NA,"+",0.347354746682774,24,-345.645914873974,744.209862534833,27.7626614766762,1.27263030104559e-07
"991",-0.523536289560363,NA,"+","+",-0.34901581729852,"+",NA,"+",NA,"+","+","+",NA,"+",0.34499029104011,24,-346.095141902532,745.10831659195,28.6611155337937,8.12092388233357e-08
"960",-0.950771571367522,"+","+","+",-0.39779060914242,"+",NA,"+","+",NA,"+","+",NA,"+",0.350478206321391,25,-345.050173818856,745.450141876396,29.0029408182393,6.84508779008782e-08
"480",-1.05022398006275,"+","+","+",-0.306927912142805,"+",NA,"+",NA,"+","+","+",NA,NA,0.343710628394575,24,-346.337642919229,745.593318625343,29.1461175671866,6.37218808872909e-08
"384",-0.962646850418608,"+","+","+",-0.385786563164391,"+",NA,"+","+","+",NA,"+",NA,NA,0.341644170169662,24,-346.728323971693,746.374680730271,29.9274796721147,4.31139646377432e-08
"768",-1.00866295606354,"+","+","+",-0.216302255149606,"+",NA,"+","+","+","+",NA,NA,"+",0.34775475618105,25,-345.569767766277,746.489329771236,30.04212871308,4.07119812878789e-08
"992",-0.881801075948037,"+","+","+",-0.378634110485058,"+",NA,"+",NA,"+","+","+",NA,"+",0.352286189950509,26,-344.704125408255,747.209903709072,30.7627026509158,2.83956356978327e-08
"496",-1.22014338764616,"+","+","+",-0.349612181504892,"+",NA,NA,"+","+","+","+",NA,NA,0.339147640563252,24,-347.198804922537,747.315642631958,30.8684415738019,2.69333689512039e-08
"896",-0.783689152175836,"+","+","+",-0.499975799837264,"+",NA,"+","+","+",NA,"+",NA,"+",0.348402375586527,26,-345.446393360051,748.694439612663,32.2472385545066,1.35172616436631e-08
"512",-0.999276753878218,"+","+","+",-0.365839229746713,"+",NA,"+","+","+","+","+",NA,NA,0.344392417139253,26,-346.208495737507,750.218644367576,33.7714433094191,6.30829309159251e-09
"1024",-0.778516363340552,"+","+","+",-0.503968854814215,"+",NA,"+","+","+","+","+",NA,"+",0.354172251745389,28,-344.342181468351,751.451029603369,35.0038285452123,3.40645620075463e-09
